,estimator,process_time,r2_score,mse,exp_var_score,mae
0,HR,16.815349578857422,0.21066841313407286,8.66814145886476,0.17284743486792042,1.7285532195231343
0,SVR,1020.5395669937134,0.3133270812962905,7.374301021163659,0.2915624457757534,2.0356522143030635
0,TSR,122.9790678024292,0.3257287100734411,7.4660726067919025,0.281502207333599,1.8582673325107528
0,PAR,18.23190689086914,0.3431884031696596,7.2036820181856385,0.3061462986058441,2.015892164527972
0,SGDR,26.297709703445435,0.34670228080796195,7.208185300318783,0.30525969026509125,1.9694814369123552
0,ENCV,113.44253754615784,0.3502027410142062,7.1637700819352474,0.3094230254754723,1.9841735533477007
0,LCV,35.56543731689453,0.3502508085520893,7.163634972771008,0.3094358738717,1.9848004210885768
0,RCV,8.338804483413696,0.3503016158083067,7.16618261905949,0.3091889700557199,1.9858368366853518
0,ETR,29.179951429367065,0.3707984763123353,6.7465789105327945,0.3496812332923247,1.7952893204956142
0,KNNR,157.36954569816592,0.3745514013650079,6.78143516270034,0.3464597417869941,1.8606362311801847
0,RFR,55.132124185562134,0.3805393471295403,6.7935621488098406,0.3451271399127445,1.7916715191905404
0,GBR,67.27693605422975,0.4168594497138554,6.4143830970377165,0.3816724612338556,1.764490535359723
