,process_time,estimator,mae,r2_score,exp_var_score,mse
0,1190.9799430370329,SVR,345274.8423739932,-0.05861914956417483,0.007234154477571475,380492573115.06537
0,88.7041265964508,ENCV,360592.61123944214,0.043058153604713635,0.050807799582656236,338247605080.86505
0,18.809303283691406,HR,117499.48736088346,0.7668193619987671,0.7759455382578044,79808880647.54575
0,158.2237703800201,TSR,118582.0605166814,0.7692225720877259,0.7669568409394563,83063238678.7288
0,10.403346300125124,RCV,149923.62588805225,0.7874397581223912,0.7429335798226053,91753990873.68086
0,28.38781261444092,LCV,148995.1990279915,0.7875388656736974,0.7438697747807654,91419856202.743
0,33.94018006324768,SGDR,151477.4165958093,0.7903282372437038,0.763662638701631,84246777747.79268
0,23.683933973312374,PAR,138311.23567569198,0.7903790483492129,0.7584161680239352,86161381032.00626
0,1166.614845752716,KNNR,106340.79167612133,0.8283765956779553,0.8707001792182351,46208564957.87293
0,115.08549618721008,GBR,96724.59526452878,0.8644581441838882,0.8846616657506583,41103534912.15418
0,135.3774266242981,RFR,89928.95702247204,0.8667657002642305,0.8704562058180123,46235734052.462616
0,50.42703819274902,ETR,81528.71301713152,0.8797986173969237,0.9140800770829296,30746984195.55268
