Date,Value
2016-09-01,205.339877
2016-08-01,205.8431512
2016-07-01,206.342209
2016-06-01,206.4051733
2016-05-01,205.164035
2016-04-01,202.9125759
2016-03-01,200.4116973
2016-02-01,198.2684848
2016-01-01,197.2268651
2015-12-01,197.4799366
2015-11-01,198.2386532
2015-10-01,198.8712457
2015-09-01,199.4699491
2015-08-01,199.9897005
2015-07-01,200.217354
2015-06-01,199.886807
2015-05-01,198.5816433
2015-04-01,196.4858268
2015-03-01,194.2655535
2015-02-01,192.4807934
2015-01-01,191.97199
2014-12-01,192.6935713
2014-11-01,193.6113816
2014-10-01,194.1442297
2014-09-01,194.4612831
2014-08-01,195.0863121
2014-07-01,195.8744368
2014-06-01,195.9526553
2014-05-01,194.8306605
2014-04-01,192.8245948
2014-03-01,190.6250739
2014-02-01,188.9390719
2014-01-01,188.1609222
2013-12-01,188.1721628
2013-11-01,188.6493901
2013-10-01,189.236479
2013-09-01,189.5440738
2013-08-01,189.6382211
2013-07-01,189.27894
2013-06-01,187.9588779
2013-05-01,185.6306252
2013-04-01,182.5429545
2013-03-01,179.3751641
2013-02-01,176.8225437
2013-01-01,175.2482939
2012-12-01,174.7804831
2012-11-01,174.9641855
2012-10-01,175.0512181
2012-09-01,174.8671796
2012-08-01,174.6158156
2012-07-01,174.1138544
2012-06-01,173.0314193
2012-05-01,171.1961633
2012-04-01,168.5979178
2012-03-01,165.9509441
2012-02-01,164.3146339
2012-01-01,164.0254855
2011-12-01,164.6735404
2011-11-01,165.7220839
2011-10-01,166.7415318
2011-09-01,167.5460189
2011-08-01,168.1431749
2011-07-01,168.7131123
2011-06-01,168.8949954
2011-05-01,168.1688308
2011-04-01,166.5574036
2011-03-01,164.6066694
2011-02-01,163.3624446
2011-01-01,163.3011429
2010-12-01,164.1893932
2010-11-01,165.258435
2010-10-01,166.0252558
2010-09-01,166.7851862
2010-08-01,167.9615905
2010-07-01,169.4708133
2010-06-01,170.4751925
2010-05-01,170.1945226
2010-04-01,168.7854764
2010-03-01,167.1401414
2010-02-01,166.0036383
2010-01-01,165.8540725
2009-12-01,166.6528076
2009-11-01,167.4100553
2009-10-01,167.5078682
2009-09-01,167.5175132
2009-08-01,167.7051945
2009-07-01,167.5433531
2009-06-01,166.6278623
2009-05-01,165.2685636
2009-04-01,164.1016468
2009-03-01,163.2830386
2009-02-01,162.8084619
2009-01-01,163.5208152
2008-12-01,166.0726137
2008-11-01,169.8110329
2008-10-01,173.53053
2008-09-01,176.5168167
2008-08-01,178.8369836
2008-07-01,180.763972
2008-06-01,182.2618586
2008-05-01,183.3287327
2008-04-01,184.4482351
2008-03-01,185.9452585
2008-02-01,187.9242508
2008-01-01,190.3631477
2007-12-01,193.1751346
2007-11-01,196.4933758
2007-10-01,200.1678734
2007-09-01,203.7034478
2007-08-01,206.4576283
2007-07-01,208.5803627
2007-06-01,210.332952
2007-05-01,210.9421504
2007-04-01,210.5241737
2007-03-01,209.8836395
2007-02-01,209.3314062
2007-01-01,209.2459272
2006-12-01,210.081292
2006-11-01,211.4913591
2006-10-01,212.8709599
2006-09-01,214.6463571
2006-08-01,216.7591615
2006-07-01,218.3185409
2006-06-01,219.0414311
2006-05-01,218.7579842
2006-04-01,217.5935351
2006-03-01,216.2551571
2006-02-01,215.2621693
2006-01-01,214.8088419
2005-12-01,214.9024808
2005-11-01,215.1931946
2005-10-01,215.2270888
2005-09-01,214.8183725
2005-08-01,213.6936378
2005-07-01,211.7329829
2005-06-01,208.9135947
2005-05-01,205.0602712
2005-04-01,200.4573592
2005-03-01,195.6964044
2005-02-01,191.4334398
2005-01-01,188.194286
2004-12-01,185.9254672
2004-11-01,183.9854939
2004-10-01,181.7739223
2004-09-01,179.5039114
2004-08-01,177.3941085
2004-07-01,174.8863353
2004-06-01,171.5200508
2004-05-01,167.5343106
2004-04-01,163.2966041
2004-03-01,159.2966579
2004-02-01,156.0965674
2004-01-01,153.9749523
2003-12-01,152.5727807
2003-11-01,151.2244129
2003-10-01,149.8157682
2003-09-01,148.3413196
2003-08-01,146.7349084
2003-07-01,144.9349752
2003-06-01,142.7282912
2003-05-01,140.296946
2003-04-01,137.9158005
2003-03-01,135.6364736
2003-02-01,133.7471031
2003-01-01,132.4336736
2002-12-01,131.6408625
2002-11-01,131.0909358
2002-10-01,130.2107357
2002-09-01,128.9615965
2002-08-01,127.6681166
2002-07-01,126.2038446
2002-06-01,124.389724
2002-05-01,122.2691473
2002-04-01,119.984133
2002-03-01,117.7947651
2002-02-01,115.9968942
2002-01-01,114.7070099
2001-12-01,113.7472125
2001-11-01,112.9210193
2001-10-01,112.1987077
2001-09-01,111.3965154
2001-08-01,110.5233914
2001-07-01,109.5261524
2001-06-01,108.3071714
2001-05-01,106.9168306
2001-04-01,105.2885533
2001-03-01,103.6025782
2001-02-01,102.0547469
2001-01-01,100.8614726
2000-12-01,100
2000-11-01,99.15499985
2000-10-01,98.37218701
2000-09-01,97.77545005
2000-08-01,97.32976663
2000-07-01,96.76503512
2000-06-01,95.8183376
2000-05-01,94.54111303
2000-04-01,93.18099492
2000-03-01,91.86539494
2000-02-01,90.77174115
2000-01-01,90.17565353
1999-12-01,89.77488813
1999-11-01,89.45295724
1999-10-01,89.29714343
1999-09-01,89.03262985
1999-08-01,88.54038229
1999-07-01,87.91331646
1999-06-01,87.26149707
1999-05-01,86.55586256
1999-04-01,85.73580163
1999-03-01,84.92965929
1999-02-01,84.35388089
1999-01-01,83.88771178
1998-12-01,83.43873314
1998-11-01,83.08878574
1998-10-01,82.72800169
1998-09-01,82.4118816
1998-08-01,82.31683909
1998-07-01,82.29226628
1998-06-01,82.04266173
1998-05-01,81.60421739
1998-04-01,81.11650261
1998-03-01,80.53825007
1998-02-01,80.02590239
1998-01-01,79.84790183
1997-12-01,79.86952958
1997-11-01,79.8203832
1997-10-01,79.7459658
1997-09-01,79.76046838
1997-08-01,79.8667362
1997-07-01,80.0536238
1997-06-01,80.16007579
1997-05-01,79.97332806
1997-04-01,79.63886279
1997-03-01,79.37742617
1997-02-01,79.22691469
1997-01-01,79.17546611
1996-12-01,79.15070777
1996-11-01,79.17175827
1996-10-01,79.29621045
1996-09-01,79.48741457
1996-08-01,79.69028249
1996-07-01,79.92926556
1996-06-01,80.08802035
1996-05-01,79.87737272
1996-04-01,79.31038356
1996-03-01,78.83873787
1996-02-01,78.72935009
1996-01-01,78.81041453
1995-12-01,78.91501035
1995-11-01,79.05801757
1995-10-01,79.21666034
1995-09-01,79.38689442
1995-08-01,79.50005
1995-07-01,79.43821258
1995-06-01,79.34491993
1995-05-01,79.31520423
1995-04-01,79.268683
1995-03-01,79.21102081
1995-02-01,79.28014764
1995-01-01,79.472017
1994-12-01,79.66149431
1994-11-01,79.7692997
1994-10-01,79.82808106
1994-09-01,79.97276119
1994-08-01,80.24027401
1994-07-01,80.45491424
1994-06-01,80.40292304
1994-05-01,80.10781323
1994-04-01,79.73745888
1994-03-01,79.40109966
1994-02-01,79.22430485
1994-01-01,79.22783665
1993-12-01,79.3779699
1993-11-01,79.5820128
1993-10-01,79.71103927
1993-09-01,79.8791675
1993-08-01,80.04600126
1993-07-01,80.18625066
1993-06-01,80.40524936
1993-05-01,80.48360343
1993-04-01,80.21800191
1993-03-01,79.80195307
1993-02-01,79.5633285
1993-01-01,79.72325005
1992-12-01,80.28007049
1992-11-01,80.84878065
1992-10-01,81.13324803
1992-09-01,81.15011935
1992-08-01,80.90630793
1992-07-01,80.59975873
1992-06-01,80.54829367
1992-05-01,80.87087859
1992-04-01,81.29827935
1992-03-01,81.47443671
1992-02-01,81.344889
1992-01-01,81.07798525
1991-12-01,80.91328663
1991-11-01,80.82030009
1991-10-01,80.6480523
1991-09-01,80.54541596
1991-08-01,80.69357731
1991-07-01,80.93151823
1991-06-01,81.00161232
1991-05-01,80.96957884
1991-04-01,80.91979235
1991-03-01,80.77167107
1991-02-01,80.68716213
1991-01-01,80.83531829
1990-12-01,81.13902225
1990-11-01,81.53150039
1990-10-01,81.94289498
1990-09-01,82.31834487
1990-08-01,82.62800686
1990-07-01,82.77955255
1990-06-01,82.79533917
1990-05-01,82.77324719
1990-04-01,82.64862984
1990-03-01,82.4667043
1990-02-01,82.39919976
1990-01-01,82.39443665
1989-12-01,82.28108674
1989-11-01,82.06470813
1989-10-01,81.77987208
1989-09-01,81.42282592
1989-08-01,81.09370563
1989-07-01,80.78447818
1989-06-01,80.41939779
1989-05-01,79.94904073
1989-04-01,79.26873502
1989-03-01,78.42159208
1989-02-01,77.59306904
1989-01-01,76.85628293
1988-12-01,76.13628486
1988-11-01,75.36214332
1988-10-01,74.53786009
1988-09-01,73.73762919
1988-08-01,73.05991796
1988-07-01,72.33605353
1988-06-01,71.37926018
1988-05-01,70.28040519
1988-04-01,69.14917273
1988-03-01,68.11840485
1988-02-01,67.31156224
1988-01-01,66.66327203
1987-12-01,65.98179033
1987-11-01,65.21393255
1987-10-01,64.4662499
1987-09-01,63.81470567
1987-08-01,63.25880151
1987-07-01,62.58688401
1987-06-01,61.6515645
1987-05-01,60.57514986
1987-04-01,59.54982193
1987-03-01,58.73125607
1987-02-01,58.16481503
1987-01-01,57.75836512
1986-12-01,57.36367478
1986-11-01,56.94568162
1986-10-01,56.53661718
1986-09-01,56.09222626
1986-08-01,55.62585163
1986-07-01,55.12493904
1986-06-01,54.50942554
1986-05-01,53.84031808
1986-04-01,53.27013516
1986-03-01,52.86661119
1986-02-01,52.53813416
1986-01-01,52.26234111
1985-12-01,52.05493481
1985-11-01,51.84490419
1985-10-01,51.69591647
1985-09-01,51.64559972
1985-08-01,51.52463413
1985-07-01,51.26424484
1985-06-01,50.94566603
1985-05-01,50.62003516
1985-04-01,50.24526182
1985-03-01,49.85879977
1985-02-01,49.57843253
1985-01-01,49.32146614
1984-12-01,49.02393792
1984-11-01,48.80077351
1984-10-01,48.75651543
1984-09-01,48.89483755
1984-08-01,49.02904911
1984-07-01,48.92705215
1984-06-01,48.59410904
1984-05-01,48.19497834
1984-04-01,47.80566322
1984-03-01,47.41617517
1984-02-01,47.09246727
1984-01-01,46.89436503
1983-12-01,46.75073489
1983-11-01,46.6354587
1983-10-01,46.56671537
1983-09-01,46.44237689
1983-08-01,46.19643119
1983-07-01,45.90554077
1983-06-01,45.64656943
1983-05-01,45.42657576
1983-04-01,45.22361887
1983-03-01,45.02550959
1983-02-01,44.81971017
1983-01-01,44.60859103
1982-12-01,44.3677259
1982-11-01,44.09148752
1982-10-01,43.83018542
1982-09-01,43.59496847
1982-08-01,43.37255274
1982-07-01,43.18745467
1982-06-01,43.08540277
1982-05-01,43.114735
1982-04-01,43.29425227
1982-03-01,43.57500797
1982-02-01,43.88631393
1982-01-01,44.15117989
1981-12-01,44.32006762
1981-11-01,44.36175669
1981-10-01,44.23574124
1981-09-01,44.02628914
1981-08-01,43.85139527
1981-07-01,43.70311392
1981-06-01,43.49556778
1981-05-01,43.25643635
1981-04-01,43.13463813
1981-03-01,43.14478256
1981-02-01,43.14080669
1981-01-01,43.01882103
1980-12-01,42.79720146
1980-11-01,42.50953046
1980-10-01,42.21354098
1980-09-01,41.92533457
1980-08-01,41.60199997
1980-07-01,41.26622959
1980-06-01,40.98376974
1980-05-01,40.71488049
1980-04-01,40.35581139
1980-03-01,39.906246
1980-02-01,39.43967247
1980-01-01,39.02105124
1979-12-01,38.66427489
1979-11-01,38.31745606
1979-10-01,37.98114062
1979-09-01,37.73025939
1979-08-01,37.49492016
1979-07-01,37.15029357
1979-06-01,36.65854394
1979-05-01,36.07271988
1979-04-01,35.56501124
1979-03-01,35.20490008
1979-02-01,34.91803157
1979-01-01,34.65460505
1978-12-01,34.41505344
1978-11-01,34.14393626
1978-10-01,33.84997659
1978-09-01,33.60668005
1978-08-01,33.32964836
1978-07-01,32.98673884
1978-06-01,32.57355598
1978-05-01,32.06955884
1978-04-01,31.59383552
1978-03-01,31.20591052
1978-02-01,30.89908499
1978-01-01,30.66576781
1977-12-01,30.44785359
1977-11-01,30.21514516
1977-10-01,29.97597756
1977-09-01,29.75114445
1977-08-01,29.53429472
1977-07-01,29.28275547
1977-06-01,28.96445997
1977-05-01,28.62986352
1977-04-01,28.35612918
1977-03-01,28.13168996
1977-02-01,27.9189134
1977-01-01,27.71683527
1976-12-01,27.54087214
1976-11-01,27.41484236
1976-10-01,27.34084229
1976-09-01,27.27049997
1976-08-01,27.13133254
1976-07-01,26.94639474
1976-06-01,26.76022612
1976-05-01,26.55700016
1976-04-01,26.35314903
1976-03-01,26.15734503
1976-02-01,25.97866717
1976-01-01,25.85673667
1975-12-01,25.78003138
1975-11-01,25.70395291
1975-10-01,25.63325027
1975-09-01,25.56683124
1975-08-01,25.43442845
1975-07-01,25.22004025
1975-06-01,25.01433263
1975-05-01,24.85149125
1975-04-01,24.71138739
1975-03-01,24.59886123
1975-02-01,24.49861001
1975-01-01,24.38049191
