MonthYear,51ARM
2005-01-01,5.0375
2005-02-01,5.02
2005-03-01,5.3
2005-04-01,5.27
2005-05-01,5.13
2005-06-01,5.06
2005-07-01,5.22
2005-08-01,5.34
2005-09-01,5.31
2005-10-01,5.57
2005-11-01,5.8
2005-12-01,5.78
2006-01-01,5.76
2006-02-01,5.92
2006-03-01,5.98
2006-04-01,6.15
2006-05-01,6.22
2006-06-01,6.28
2006-07-01,6.36
2006-08-01,6.18
2006-09-01,6.08
2006-10-01,6.09
2006-11-01,6.02
2006-12-01,5.95
2007-01-01,6.0225
2007-02-01,6
2007-03-01,5.9
2007-04-01,5.91
2007-05-01,5.98
2007-06-01,6.31
2007-07-01,6.32
2007-08-01,6.33
2007-09-01,6.21
2007-10-01,6.09
2007-11-01,5.91
2007-12-01,5.86
2009-01-01,5.31
2009-02-01,5.15
2009-03-01,5
2009-04-01,4.88
2009-05-01,4.83
2009-06-01,5
2009-07-01,4.8
2009-08-01,4.68
2009-09-01,4.53
2009-10-01,4.39
2009-11-01,4.27
2009-12-01,4.33
2010-01-01,4.32
2010-02-01,4.19
2010-03-01,4.1
2010-04-01,4.09
2010-05-01,3.95
2010-06-01,3.9
2010-07-01,3.79
2010-08-01,3.58
2010-09-01,3.54
2010-10-01,3.45
2010-11-01,3.37
2010-12-01,3.68
2011-01-01,3.72
2011-02-01,3.82
2011-03-01,3.67
2011-04-01,3.66
2011-05-01,3.44
2011-06-01,3.29
2011-07-01,3.28
2011-08-01,3.12
2011-09-01,2.99
2011-10-01,3.03
2011-11-01,2.96
2011-12-01,2.88
2012-01-01,2.84
2012-02-01,2.81
2012-03-01,2.87
2012-04-01,2.84
2012-05-01,2.83
2012-06-01,2.8
2012-07-01,2.74
2012-08-01,2.77
2012-09-01,2.74
2012-10-01,2.74
2012-11-01,2.73
2012-12-01,2.7
2013-01-01,2.68
2013-02-01,2.63
2013-03-01,2.63
2013-04-01,2.61
2013-05-01,2.61
2013-06-01,2.85
2013-07-01,3.17
2013-08-01,3.21
2013-09-01,3.17
2013-10-01,3.02
2013-11-01,2.97
2013-12-01,2.97
2014-01-01,3.114
2014-02-01,3.065
2014-03-01,3.06
2014-04-01,3.07
2014-05-01,3.01
2014-06-01,2.99
2014-07-01,2.99
2014-08-01,2.97
2014-09-01,3.03
2014-10-01,2.98
2014-11-01,3
2014-12-01,2.98
2015-01-01,2.89
2015-02-01,2.94
2015-03-01,2.965
2015-04-01,2.864
2015-05-01,2.8925
2015-06-01,2.99
2015-07-01,2.96
2015-08-01,2.93
2015-09-01,2.9175
2015-10-01,2.89
2015-11-01,3
2015-12-01,3.04
2016-01-01,2.9775
2016-02-01,2.83
2016-03-01,2.896
2016-04-01,2.8325
2016-05-01,2.8125
2016-06-01,2.776
2016-07-01,2.75
2016-08-01,2.75
2016-09-01,2.81
2016-10-01,2.83
2016-11-01,2.99
2008-01-01,5.45
2008-02-01,5.3
2008-03-01,5.54
2008-04-01,5.58
2008-05-01,5.64
2008-06-01,5.77
2008-07-01,5.93
2008-08-01,6.02
2008-09-01,5.88
2008-10-01,6.09
2008-11-01,5.98
2008-12-01,5.65
