GIS_ID,SchoolDigger_SchoolName,SchoolType
dcps_426,Woodson H D High School,HS
dcps_450,Anacostia Senior High School,HS
dcps_452,Ballou Senior High School,HS
dcps_454,Cardozo Ec,HS
dcps_455,Coolidge Senior High School,HS
dcps_459,Roosevelt High School At Macfarland,HS
dcps_332,Walker Jones Ec,MS
dcps_335,Wheatley Ec,MS
dcps_404,Browne Ec,MS
dcps_407,Eliot Hine Middle School,MS
dcps_409,School Without Walls At Francis Stevens,MS
dcps_416,Johnson John Hayden Middle School,MS
dcps_428,Stuart Hobson Middle School Capitol Hill Cluster,MS
dcps_475,Columbia Heights Ec,MS
dcps_949,Oyster Adams Bilingual School Oyster,MS
dcps_975,Brookland Ec At Bunker Hill,MS
dcps_203,Amidon Bowen Elementary School,ES
dcps_213,Brightwood Ec,ES
dcps_220,Burroughs Ec,ES
dcps_227,H D Cooke Elementary School,ES
dcps_247,C W Harris Elementary School,ES
dcps_252,Hyde Addison Elementary School,ES
dcps_262,Langdon Ec,ES
dcps_264,Lasalle Backus Ec,ES
dcps_271,Ludlow Taylor Elementary School,ES
dcps_292,Oyster Adams Bilingual School Oyster,ES
dcps_296,Bruce Monroe Elementary School At Park View,ES
dcps_302,Raymond Ec,ES
dcps_308,Malcolm X Elementary School At Green,ES
dcps_3241,Takoma Ec,ES
dcps_327,Truesdell Ec,ES
dcps_332,Walker Jones Ec,ES
dcps_333,Watkins Elementary School Capitol Hill Cluster,ES
dcps_335,Wheatley Ec,ES
dcps_336,West Ec,ES
dcps_338,Whittier Ec,ES
dcps_339,J O Wilson Elementary School,ES
dcps_344,King M L Elementary School,ES
dcps_346,Brookland Ec At Bunker Hill,ES
dcps_404,Browne Ec,ES
dcps_409,School Without Walls At Francis Stevens,ES
dcps_965,Langley Ec,ES
-200002,Macfarland Middle School,MS
-200001,Cardozo Ec,MS
